"","Var1","Freq"
"1007","SLC25A10",1
"1008","SLC25A11",1
"1009","SLC25A17",1
"1010","SLC25A18",1
"1011","SLC26A10",1
"1012","SLC29A4",1
"1013","SLC2A4RG",1
"1016","SLC37A3",1
"1017","SLC38A10",1
"1018","SLC39A5",1
"1019","SLC41A1",1
"1020","SLC45A3",1
"1021","SLC4A8",1
"1022","SLC52A1",1
"1023","SLCO2B1",1
"1024","SLCO4A1",1
"1025","SLCO4A1-AS1",1
"1026","SLCO5A1",1
"1027","SMAGP",1
"1028","SMIM10L3",1
"1029","SMIM27",1
"1030","SMIM38",1
"1031","SMIM41",1
"1032","SMPDL3A",1
"1033","SMTNL2",1
"1034","SNF8",1
"1035","SNHG6",1
"1036","SNORA105C",1
"1038","SNORA117",1
"1039","SNORA2A",1
"1040","SNORA2B",1
"1041","SNORA2C",1
"1043","SNORD141A",1
"1044","SNORD141B",1
"1045","SNORD59A",1
"1046","SNORD59B",1
"1047","SNORD87",1
"1048","SNRNP48",1
"1049","SNRPB2",1
"1050","SNUPN",1
"1052","SNX27",1
"1053","SNX33",1
"1054","SOX18",1
"1055","SPAG4",1
"1056","SPAG7",1
"1057","SPCS2",1
"1058","SPNS2",1
"1059","SPNS3",1
"1060","SPRYD4",1
"1061","SRGAP1",1
"1062","SRGAP2C",1
"1063","SRMS",1
"1064","SRRM3",1
"1065","SS18L1",1
"1066","SSR1",1
"1067","ST13",1
"1068","STAC3",1
"1069","STAT2",1
"1070","STAT6",1
"1074","STMN3",1
"1075","STX1A",1
"1076","SULF1",1
"1077","SV2B",1
"1078","SYCE3",1
"1079","SYPL1",1
"1080","TAC3",1
"1081","TAF1L",1
"1082","TAF4",1
"1084","TBC1D1",1
"1085","TBC1D15",1
"1086","TBC1D21",1
"1087","TBC1D22B",1
"1088","TBC1D23",1
"1089","TBC1D30",1
"1090","TBC1D32",1
"1091","TBC1D7",1
"1092","TBC1D7-LOC100130357",1
"1093","TBCD",1
"1094","TBK1",1
"1095","TBL2",1
"1096","TBX15",1
"1097","TBXAS1",1
"1098","TCEA2",1
"1099","TCF24",1
"1100","TCFL5",1
"1101","TCHH",1
"1102","TCHHL1",1
"1103","TCP11L1",1
"1104","TDRKH",1
"1105","TDRKH-AS1",1
"1106","TEKT1",1
"1107","TEPSIN",1
"1109","TESPA1",1
"1110","TEX19",1
"1111","TEX49",1
"1112","TFAP2C",1
"1113","TFB2M",1
"1114","TFCP2",1
"1115","TFG",1
"1116","THAP2",1
"1117","THEM4",1
"1118","THEM5",1
"1119","THEMIS",1
"1120","TICRR",1
"1121","TIMELESS",1
"1122","TJP1",1
"1123","TLR1",1
"1124","TLR10",1
"1125","TLR6",1
"1126","TMBIM4",1
"1127","TMCC2",1
"1128","TMEM156",1
"1129","TMEM19",1
"1130","TMEM198B",1
"1131","TMEM213",1
"1132","TMEM215",1
"1133","TMEM217",1
"1134","TMEM220",1
"1135","TMEM232",1
"1136","TMEM238L",1
"1137","TMEM266",1
"1138","TMEM270",1
"1139","TMEM45A",1
"1141","TMEM75",1
"1142","TMOD4",1
"1143","TMPRSS12",1
"1144","TNFAIP8L2",1
"1145","TNFAIP8L2-SCNM1",1
"1146","TNFRSF6B",1
